parent_asin,most_liked_features
0000098906,"WELL(12%), INCLUDES(12%), OWL WHISTLE(12%), WOOD BLOCK(12%), ANIMAL 'S(12%)"
0007931727,"LITTLE BOOK(33%), GREAT HELP(33%), CALORIE INTAKE(33%)"
0470536454,"NEEDLE CRAFTS(50%), GREAT TOOL(50%)"
0634003224,"AWESOME(12%), BAND BOOK(12%), WORKS FINE(12%), TEACH-YOURSELF INSTRUCTIONS(12%), INSTRUCTOR. < BR / >(12%)"
0641843682,BEAUTIFUL(100%)
069267599X,"LOVELY ORACLE DECK(16%), INTERESTING. < BR / >(16%), CARD STOCK(16%), STURDY. < BR / >(16%), SHORT(16%)"
0739058118,"GEDDY LEE(14%), TRUE MASTERS(14%), GREAT WAY(14%), GREAT HELP(14%), WAY. < BR / >(14%)"
0739491431,BEAUTIFUL BOOK(100%)
0757908713,EXACTLY(100%)
0793533929,EXCELLENT(100%)
0816091846,"A++++(33%), SPACEK(33%), COSTARS CA N'T(33%)"
0849707501,"CDS(22%), FLUTE SOUNDS(9%), MUY(4%), GOOD GRIEF(4%), MAIN INSTRUMENT(4%)"
0882847899,"ALFRED(8%), PIANO(8%), STUDENTS PIANO(8%), MUSIC THEORY(8%), STUDENTS NEED(8%)"
0897243889,There isn't enough user feedback available yet to highlight key features.
0899333206,"GATE GUARDS(20%), GREAT MAPS(20%), GAVE(20%), OLD MOM-(20%), RATIBOR TX(20%)"
0899333990,LARGE MAPS(100%)
0956695930,There isn't enough user feedback available yet to highlight key features.
0978515234,There isn't enough user feedback available yet to highlight key features.
0983074933,THANK(100%)
0985393300,"YOKOSUKA(14%), JAPAN(3%), FOUND. < BR / >(3%), FACEBOOK(3%), GREAT FUN(3%)"
1423463676,"NUMBER SYSTEM(11%), 'S BOOK(11%), GOOD BASIC INTRODUCTION(5%), GREAT INSPIRATION(5%), GUITAR PUPILS(5%)"
1458415287,NICE(100%)
1458441369,"NICE(33%), NICE FINGERSTYLE ARRANGEMENTS(33%), EASY(33%)"
1458491269,There isn't enough user feedback available yet to highlight key features.
1463575173,"BEGINNER STUDENTS(33%), DUET PARTS(33%), SUZUKI DUETS(33%)"
1465874399,EXACTLY(100%)
1480398098,"FANTASTIC(11%), OLD GRANDSON(11%), DAD/MOM/GRANDPARENTS(11%), BOOK [(11%), DRUMMERS ](11%)"
1561585300,"BOUGHT(50%), HELPFUL INFORMATION(50%)"
1563834103,GREAT BOOK(100%)
156939573X,"LOVE(33%), < BR / > < BR / >(33%), VIOLA/VIOLIN(33%)"
1579183468,"NICE BOOK(50%), GOD(50%)"
1599632977,"PRACTICAL EXERCISES(33%), GOOD HABITS(33%), UNLOCK CREATIVITY(33%)"
