parent_asin,overall_sentiment_score,total_reviews,positive_count,neutral_count,negative_count,% positive,% neutral,% negative
0000098906,1.0,1,1,0,0,100.0,0.0,0.0
0007931727,1.0,1,1,0,0,100.0,0.0,0.0
0470536454,1.0,1,1,0,0,100.0,0.0,0.0
0634003224,1.0,2,2,0,0,100.0,0.0,0.0
0641843682,1.0,1,1,0,0,100.0,0.0,0.0
069267599X,1.0,2,2,0,0,100.0,0.0,0.0
0739058118,1.0,1,1,0,0,100.0,0.0,0.0
0739491431,1.0,1,1,0,0,100.0,0.0,0.0
0757908713,0.0,1,0,1,0,0.0,100.0,0.0
0793533929,1.0,1,1,0,0,100.0,0.0,0.0
0816091846,0.0,2,1,0,1,50.0,0.0,50.0
0849707501,-0.5,2,0,1,1,0.0,50.0,50.0
0882847899,1.0,1,1,0,0,100.0,0.0,0.0
0897243889,-1.0,1,0,0,1,0.0,0.0,100.0
0899333206,1.0,3,3,0,0,100.0,0.0,0.0
0899333990,0.5,2,1,1,0,50.0,50.0,0.0
0956695930,1.0,1,1,0,0,100.0,0.0,0.0
0978515234,1.0,1,1,0,0,100.0,0.0,0.0
0983074933,1.0,1,1,0,0,100.0,0.0,0.0
0985393300,1.0,4,4,0,0,100.0,0.0,0.0
1423463676,1.0,1,1,0,0,100.0,0.0,0.0
1458415287,1.0,1,1,0,0,100.0,0.0,0.0
1458441369,1.0,1,1,0,0,100.0,0.0,0.0
1458491269,1.0,1,1,0,0,100.0,0.0,0.0
1463575173,1.0,1,1,0,0,100.0,0.0,0.0
1465874399,1.0,1,1,0,0,100.0,0.0,0.0
1480398098,1.0,1,1,0,0,100.0,0.0,0.0
1561585300,1.0,1,1,0,0,100.0,0.0,0.0
1563834103,1.0,1,1,0,0,100.0,0.0,0.0
156939573X,1.0,1,1,0,0,100.0,0.0,0.0
1579183468,1.0,1,1,0,0,100.0,0.0,0.0
1599632977,1.0,1,1,0,0,100.0,0.0,0.0
1634438655,1.0,2,2,0,0,100.0,0.0,0.0
1783052732,1.0,1,1,0,0,100.0,0.0,0.0
1881322149,0.0,1,0,1,0,0.0,100.0,0.0
1926644743,1.0,1,1,0,0,100.0,0.0,0.0
1930448732,0.0,1,0,1,0,0.0,100.0,0.0
1935159062,1.0,1,1,0,0,100.0,0.0,0.0
1943050902,1.0,1,1,0,0,100.0,0.0,0.0
1946494011,1.0,1,1,0,0,100.0,0.0,0.0
197480772X,1.0,2,2,0,0,100.0,0.0,0.0
2643084152,1.0,1,1,0,0,100.0,0.0,0.0
4763196936,1.0,1,1,0,0,100.0,0.0,0.0
6025006407,1.0,1,1,0,0,100.0,0.0,0.0
614847932X,0.0,4,2,0,2,50.0,0.0,50.0
6152004349,1.0,1,1,0,0,100.0,0.0,0.0
8674394329,1.0,1,1,0,0,100.0,0.0,0.0
8895229304,1.0,5,5,0,0,100.0,0.0,0.0
9788077587,1.0,1,1,0,0,100.0,0.0,0.0
979077530X,1.0,1,1,0,0,100.0,0.0,0.0
9895513712,-1.0,1,0,0,1,0.0,0.0,100.0
9895514107,-1.0,1,0,0,1,0.0,0.0,100.0
9895515359,-1.0,1,0,0,1,0.0,0.0,100.0
B00000J08C,1.0,1,1,0,0,100.0,0.0,0.0
B00000J50W,1.0,1,1,0,0,100.0,0.0,0.0
B00000K3Q6,1.0,1,1,0,0,100.0,0.0,0.0
B00004U8LC,1.0,1,1,0,0,100.0,0.0,0.0
B00004YO07,1.0,2,2,0,0,100.0,0.0,0.0
B00004YWK2,0.0,2,1,0,1,50.0,0.0,50.0
B000050AUD,0.0,2,1,0,1,50.0,0.0,50.0
B000050B6A,1.0,1,1,0,0,100.0,0.0,0.0
B000050FDE,0.8333333333333334,6,5,1,0,83.33333333333334,16.666666666666664,0.0
B000050FEQ,1.0,1,1,0,0,100.0,0.0,0.0
B00005322I,-1.0,1,0,0,1,0.0,0.0,100.0
B000056HNU,1.0,1,1,0,0,100.0,0.0,0.0
B00005ML71,1.0,1,1,0,0,100.0,0.0,0.0
B00005QTXI,0.6,5,4,0,1,80.0,0.0,20.0
B00005YWNB,1.0,1,1,0,0,100.0,0.0,0.0
