parent_asin,main_category,optimal_price_min,optimal_price_max
B084RR9N7B,AMAZON FASHION,1.49,631.0
B08YNC4Q73,AMAZON FASHION,1.49,631.0
B07T12SZ3G,AMAZON FASHION,1.49,631.0
B09TB2YJST,AMAZON FASHION,1.49,631.0
B08LD4ZX4Z,AMAZON FASHION,1.49,631.0
B083K32MXY,AMAZON FASHION,1.49,631.0
B01N5S2YYC,AMAZON FASHION,1.49,631.0
B00KH50XD2,AMAZON FASHION,1.49,631.0
B01EHEK34W,AMAZON FASHION,1.49,631.0
B07VD9XVY4,AMAZON FASHION,1.49,631.0
B07BPM9N1Z,AMAZON FASHION,1.49,631.0
B00HSE31U2,AMAZON FASHION,1.49,631.0
B07G4WDQNZ,AMAZON FASHION,1.49,631.0
B07C4NBL9F,AMAZON FASHION,1.49,631.0
B0BL8ZHRMZ,AMAZON FASHION,1.49,631.0
B08JTPQNYQ,AMAZON FASHION,1.49,631.0
B09WHL9JK5,AMAZON FASHION,1.49,631.0
B086GNCD3T,AMAZON FASHION,1.49,631.0
B099GF2JG2,AMAZON FASHION,1.49,631.0
B07Y29D1TL,AMAZON FASHION,1.49,631.0
B09MJTRDCW,AMAZON FASHION,1.49,631.0
B09CCYSC7N,AMAZON FASHION,1.49,631.0
B0B7L1FXDV,AMAZON FASHION,1.49,631.0
B07M5ZFTXW,AMAZON FASHION,1.49,631.0
B08QF19FRH,AMAZON FASHION,1.49,631.0
B075GGZYDT,AMAZON FASHION,1.49,631.0
B088W5X8BN,AMAZON FASHION,1.49,631.0
B07VY5FD34,AMAZON FASHION,1.49,631.0
B08GCWFKJ6,AMAZON FASHION,1.49,631.0
B07HPWHH8Z,AMAZON FASHION,1.49,631.0
B07BTLBSMD,AMAZON FASHION,1.49,631.0
B088NF25X7,AMAZON FASHION,1.49,631.0
B07SWJ1Z8D,AMAZON FASHION,1.49,631.0
B0778GY879,AMAZON FASHION,1.49,631.0
B01H0X4WXK,AMAZON FASHION,1.49,631.0
B07PHB9T5P,AMAZON FASHION,1.49,631.0
B0BBVRJB9L,AMAZON FASHION,1.49,631.0
B077D2JF2F,AMAZON FASHION,1.49,631.0
B006BBF9VC,AMAZON FASHION,1.49,631.0
B0C114Z3XM,AMAZON FASHION,1.49,631.0
B099RW1LJ2,AMAZON FASHION,1.49,631.0
B072MKHRNN,AMAZON FASHION,1.49,631.0
B01ASOPHNW,AMAZON FASHION,1.49,631.0
B0BF9LZZVY,AMAZON FASHION,1.49,631.0
B07F7HQ4P3,AMAZON FASHION,1.49,631.0
B01MRZYK03,AMAZON FASHION,1.49,631.0
B08HM3Y85H,AMAZON FASHION,1.49,631.0
B07VDCS9FW,AMAZON FASHION,1.49,631.0
B07RXQBV8Y,AMAZON FASHION,1.49,631.0
B095PY2J53,AMAZON FASHION,1.49,631.0
B01EN6EO6M,AMAZON FASHION,1.49,631.0
B0BLRWB2DJ,AMAZON FASHION,1.49,631.0
B07K1XXMBY,AMAZON FASHION,1.49,631.0
B07BNZX95X,AMAZON FASHION,1.49,631.0
B07GV3GMTY,AMAZON FASHION,1.49,631.0
B08PCL9CZF,AMAZON FASHION,1.49,631.0
B07TJFM7S2,AMAZON FASHION,1.49,631.0
B00XKDXYA2,AMAZON FASHION,1.49,631.0
B07BYSQDYT,AMAZON FASHION,1.49,631.0
B0BJFQ9XNJ,AMAZON FASHION,1.49,631.0
B01FNA5G00,AMAZON FASHION,1.49,631.0
B09GXM82LH,AMAZON FASHION,1.49,631.0
B092W59XCH,AMAZON FASHION,1.49,631.0
B08LNL2ZTM,AMAZON FASHION,1.49,631.0
B09S117L2G,AMAZON FASHION,1.49,631.0
B01HREO00M,AMAZON FASHION,1.49,631.0
B071VZ1MQV,AMAZON FASHION,1.49,631.0
B085PQCL1Y,AMAZON FASHION,1.49,631.0
B088Q8MMYF,AMAZON FASHION,1.49,631.0
B00BPHSUMC,AMAZON FASHION,1.49,631.0
B0B3147RP9,AMAZON FASHION,1.49,631.0
B08VF9X3HG,AMAZON FASHION,1.49,631.0
B098VS2517,AMAZON FASHION,1.49,631.0
B07GFK48DD,AMAZON FASHION,1.49,631.0
