parent_asin,main_category,title,average_rating,rating_number,price,performance_target,predicted_performance_score
B01IC94UVK,All Beauty,Peace Spell Soap Wash Mend Your Relationships! Wicca Witchcraft Hoodoo by Witch SuperCenter,5.0,1,8.99,3.4657359027997265,3.465735902799733
B01IO5SOVO,All Beauty,Everyday Essentials Lotion EZE Replacement Pads 2 ct (2 Pack),5.0,1,12.5,3.4657359027997265,3.465735902799733
B0765Z7XJC,All Beauty,STENES Galaxy J7 J710 Case - 3D Handmade Crystal Butterfly Flowers Floral Sparkle Wallet Credit Card Slots Fold Media Stand Leather Cover For Samsung Galaxy J7 (2016) / J710 - Gold,5.0,1,9.95,3.4657359027997265,3.465735902799733
B01IADXF7S,All Beauty,"Balsam Hair Color, 43 Medium Golden Brown 1 kit (Pack of 5)",5.0,1,33.75,3.4657359027997265,3.465735902799733
B01C9L8AUE,All Beauty,"Ziggy Braid for Braids, Twists and Dreadlock Hair Extensions - Chocolate 4",5.0,1,9.99,3.4657359027997265,3.465735902799733
B08L7TL6QW,All Beauty,"WeiSha 150% Density Auburn Wig Long Wavy Wig For Women 24"" Middle Parting Synthetic 13x4 Lace Front Wigs With Natural Hairline Body Wave Wig Heat Friendly Fiber Wig Warm Reddish Brown Wig (24 Inches)",5.0,1,55.99,3.4657359027997265,3.465735902799733
B00DQL5TXS,All Beauty,1 Kleancolor American Eyedol SES20-Shamrock Wet Dry Baked Eyeshadow + Free ZipBag,5.0,1,5.2,3.4657359027997265,3.465735902799733
B08KGKN4FF,All Beauty,CA Perfume Impression of Cocao For Women Replica Version Fragrance Dupes Concentrated Long Lasting Eau de Parfum Spray Refillable Atomizer Bottle2 Fl Oz/60ml-X1,5.0,1,14.99,3.4657359027997265,3.465735902799733
B00SJ4PKRM,All Beauty,"Elgon Affixx Hairstyling 40 Foam Flex Hold/Average-hold, Modelling, Compact Mousse 10.14 OzFree Starry Sexy Lip Plumping Gloss Tube 10ml",5.0,1,49.0,3.4657359027997265,3.465735902799733
B07F3V1G9N,All Beauty,Ichikami natural care select Moist (settled moisture to the hair) scent of hair pack 180g citrus floral,5.0,1,41.36,3.4657359027997265,3.465735902799733
B08X6QFPMS,All Beauty,[Inner b] Aquarich Double UP 600mg 56capsule Upgrade for 4week / inner beauty - Eating Moisture Treatment/fill moisture from the inside + UV care,5.0,1,35.0,3.4657359027997265,3.465735902799733
B008CUFNRA,All Beauty,Avengers 3-in-1 18 oz. (Sport Scent) by Avengers,5.0,1,19.95,3.4657359027997265,3.465735902799733
B005GF0IUG,All Beauty,"Motions Salon Herbals Chamomile Neutralizing Conditioner For Relaxed & Natural Hair, 16 Fl Oz (473 mL)",5.0,1,19.99,3.4657359027997265,3.465735902799733
B073G7VNM4,All Beauty,LA Splash Eye Sparkle #16144-Tidal Wave,5.0,1,1.99,3.4657359027997265,3.465735902799733
B07MVTF7WG,All Beauty,LeChat Nobility Nail Lacquer - 15 mL (Turquoise Sky - NBNL39),5.0,1,11.99,3.4657359027997265,3.465735902799733
B00YFS4NHY,All Beauty,"Goody Simple Styles Starter Kit, 21 Ct",5.0,1,9.97,3.4657359027997265,3.465735902799733
B08QGJTTTH,All Beauty,AL NUAIM CHOCOLATE MUSK ATTAR 6ML by Exportmall,5.0,1,9.06,3.4657359027997265,3.465735902799733
B09VLB9J7B,All Beauty,GrapeZ Dog Cat Bamboo Double Sides Brush Bristle & Soft Round Pin For Long Short Hair Pet,5.0,1,6.9,3.4657359027997265,3.465735902799733
B071ZY9HZY,All Beauty,"Beard Care Kit for Men - Beard Growth Oil, Beard Balm and Beard Wash for Men (Eucalyptus, Cedar Wood, Fir Needle and Dark Patchouli Scented) by Skully's Beard Oil",5.0,1,45.0,3.4657359027997265,3.465735902799733
B014LQGL1K,All Beauty,VEGAMATRIX BLOOM + PIPETTE & THCiTY GLOVES - 1 QUART,5.0,1,61.35,3.4657359027997265,3.465735902799733
B00C3LEOSI,All Beauty,"MAC Chromacake ""Rich Purple"" 98g / 3.3 Us Oz",5.0,1,34.99,3.4657359027997265,3.465735902799733
B01C1UFT98,All Beauty,"Africare 100% Mineral Oil, 8.5 oz (Pack of 3)",5.0,1,37.81,3.4657359027997265,3.465735902799733
B07FCG47NL,All Beauty,"Baoblaze 10pcs/Lot 5/10 Teeth Metal Alloy Blank DIY Alloy Hair Comb Clip Pin Barrettes Craft Accessories Set - Bronze, 2.7cm",1.0,1,6.19,0.6931471805599453,0.6931471805599458
B081337G9Y,All Beauty,Jo Malone London - Travel Size Collection Body & Hand Wash Set Limited Edition each 3.4 Fl. Oz.,1.0,1,124.0,0.6931471805599453,0.6931471805599458
B09NP1N2YR,All Beauty,Not Your Mother's Curl Talk Hard Hold Gel,1.0,1,9.95,0.6931471805599453,0.6931471805599458
B00HDRLG6K,All Beauty,Armstrong Wr Comb Lng 12Pt 3/4 Fp (1 Each) 25-224,4.0,1,32.99,2.772588722239781,2.7725887222397834
B01D29VHYI,All Beauty,"CUCCIO Veneer Match Makers Nail Polish, Alien Nation",4.0,1,12.0,2.772588722239781,2.7725887222397834
B074XGH35M,All Beauty,Alf Wardaat concentrated Perfume Oil -25ml,4.0,1,23.96,2.772588722239781,2.7725887222397834
B07CR63957,All Beauty,Chamos Acaci Soft Foot Peeling Pack (12 ml) for Smooth and Healthy Feet,3.0,1,6.6,2.0794415416798357,2.0794415416798397
B07MKTTRN3,All Beauty,Black Tape in Human Hair Extensions LaaVoo Rooted Black Extensions Tape in Human Hair Double Side Glue in Real Extensions for Women Balayage Off Black to Golden Brown and Platinum Blonde 50g 20Pcs 18”,2.0,1,55.61,1.3862943611198906,1.394403663282055
B01NBR7OEE,All Beauty,MISE EN SCENE Hello Bubble foam Color No damaged Hair Self Dye (2017 NEW) (Choco Brown (6N)),2.0,1,32.4,1.3862943611198906,1.394403663282055
B01AXDODAG,All Beauty,Dream Away Eau de Parfum Spray,2.0,2,10.25,2.1972245773362196,2.1917315158928763
B00G1WVKFK,All Beauty,"Mirenesse Marble Mineral Blush Face Powder, Baked Mineral Powder Blush & Highlighter, Natural Glow Finish, Soft Velvet Texture, Vegan & Toxin Free, 5 Rose Diamond 0.42oz",3.0,2,37.95,3.295836866004329,3.295836866004324
B01N2ZZ6JF,All Beauty,Midnight Recovery eye,3.0,2,49.99,3.295836866004329,3.295836866004324
B01M9IDT9N,All Beauty,RealHer Play Book Shadow Palette,3.2,2,31.95,3.5155593237379517,3.5133620991606125
B07QVQHCP4,All Beauty,"China Glaze Nail Polish, Glow-Worthy 1664",2.9,2,5.29,3.1859756371375183,3.1782853511168407
B092D6N922,All Beauty,"Neck Massager for Pain Relief, Electric USB Rechargeable Neck Massage with Heat 4 Modes 15 Levels Cordless & Portable Relieve Pain, Lumps and Muscle Tension for Women Men(White)",2.7,2,39.99,2.9662531794038967,2.9772393022905823
B01M9JO9LF,All Beauty,Beyond Belief Sonic Thermal Cream Booster,2.3,2,24.5,2.5268082639366525,2.4861596092559335
B07ZBKTPNQ,All Beauty,"Bobbi Boss Synthetic Hand Braided 4x4 Lace Front Wig - MLF517 SPRING TWIST 28"" (TT1B/613)",4.5,2,117.6,4.943755299006494,4.941558074429164
B015F4RAX0,All Beauty,Broadway Nails Press-On Manicure Design - 63927 Broomstick,2.8,2,19.99,3.076114408270707,3.046451876476672
B01LXBP2V8,All Beauty,LeChat Dare To Wear Nail Polish - (Mint Jubilee),3.6,2,9.5,3.9550042392051954,3.9418208917411857
B01H93WJUY,All Beauty,"Amour Synthetic Kanekalon Crochet Braids Natty Goddess Dreadlocks 16"" (6-Pack, 2)",3.0,2,33.39,3.295836866004329,3.295836866004324
B07S7FZZ2Q,All Beauty,Sensationnel Instant Pony Half Wig AFRO PUFF MEDIUM - Synthetic pony tail and updo with adjustable drawstring for seamless pony styles - INSTANTPONY AFRO PUFF MEDIUM (1B),4.4,2,17.99,4.833894070139683,4.833894070139692
B00PT7XHFE,All Beauty,"Plain Jane Beauty - Time To Prime - Natural and Organic Makeup Foundation Primer - dimethicone-free, 88% organic ingredients, 1.2 oz/34 ml",4.7,2,32.0,5.163477756740116,5.155787470719443
B00JP62F1C,All Beauty,Kenzo L'Eau par Kenzo Mirror Pour Homme Eau de Toilette 50ml Spray,1.9,2,64.99,2.0873633484694083,2.082968899314737
B0BM626LWL,All Beauty,"Dog Cat Bath Brush Comb Silicone Rubber, Dog Grooming Brush, Hair Fur Grooming Cleaning Brush Soft Shampoo Dispenser for Dogs and Cats Shower Grooming(yellow paw shape)",4.0,2,6.98,4.394449154672439,4.387857480940425
B010TENS6Y,All Beauty,Hollywood Sis Brazilian 100% Remy Human Hair Wig HR-BRZ OPRAH (99J - BURGUNDY),3.6,2,50.04,3.9550042392051954,3.9363278302978455
B07BK9FM9Y,All Beauty,Vella Vella wig Style Bounce Bob (RM99J),3.2,2,33.99,3.5155593237379517,3.5133620991606125
B0773CPWPF,All Beauty,Makeup Revolution Liquid Highlighter ~ Bronze Gold,3.8,2,29.99,4.174726696938817,4.201093391866852
B00B9F0UNW,All Beauty,Le Blanc - Set of 6 Assorted Scented Guest Soaps in Flowers Bouquet Tin Box - Multi Coloured,2.0,2,19.95,2.1972245773362196,2.1917315158928763
B071JVRCJL,All Beauty,"Ouai Rose Hair & Body Oil, Deluxe Travel Size.85",4.2,2,37.54,4.614171612406062,4.599889652653369
B07GV6J57G,All Beauty,Wet N Wild Color Icon Bronzer ~ Queen's Land 36320,3.6,2,12.99,3.9550042392051954,3.9506097900505313
B01N0ZFGU9,All Beauty,Hot Red Wild Columbine! 25 SEEDS! Comb. S/H! HUMMINGBIRD PLANT! Perennial,2.0,2,12.18,2.1972245773362196,2.1917315158928763
B07Z3682WL,All Beauty,New Look lovie dovie 688 New and Genuine,4.4,2,19.38,4.833894070139683,4.833894070139692
B016WF0EM0,All Beauty,Lasa Aromatics Chocolate Natural Solid Perfume Body Musk In Wooden Jar - 6 gm,4.0,2,6.58,4.394449154672439,4.387857480940425
B0711YCBS2,All Beauty,"PATANJALI Amla Hair Oil, 100ml by Patanjali",2.9,2,8.0,3.1859756371375183,3.1782853511168407
B00RL7BO1Y,All Beauty,G.S 2 PCS (Purple + Yellow) Paramedic Utility Bandage Trauma EMT EMS Shears Scissors 7.25 INCH Stainless Steel,2.5,2,8.79,2.7465307216702746,2.7421362725155998
B013OMEHWM,All Beauty,Six Wholesale 6 Pack Headband Assorted Color Pattern Peru Cotton Embroidered Lot003773,5.0,2,29.95,5.493061443340549,5.493061443340544
B0038EVU9K,All Beauty,"Cosmetics & Beauty Products LA Colors Automatic Eyeliner Brown, 1 Count",5.0,2,6.61,5.493061443340549,5.493061443340544
B007JY0YQK,All Beauty,Bdellium Tools Professional Eco-Friendly Makeup Brush Green Bambu Series with Vegan Synthetic Bristles - Bold Lip Brush 542,5.0,2,9.0,5.493061443340549,5.493061443340544
B00GMOV1NS,All Beauty,Deity Natural Edge Tamer Pomade 4oz Jar (3 Pack),5.0,2,43.86,5.493061443340549,5.493061443340544
B01IA99PD0,All Beauty,Stri-Dex Daily Care Sensitive With Aloe Pads 90 Each (Pack of 4),5.0,2,24.35,5.493061443340549,5.493061443340544
