product_id,likelihood_to_recommend,number_of_reviews
B06Y1L19F3,100.0,1
B074V1BYBD,100.0,1
B004UJR2YY,100.0,1
B00FQRYE40,100.0,1
B076BMTW9P,100.0,1
B00ENLQ5TC,100.0,1
B00RPOZYZA,100.0,1
B0160LD52C,100.0,1
B01JVDR130,100.0,1
B07SCJJ5XZ,100.0,1
B07H6BMQ74,100.0,1
B07GJLLS2D,100.0,1
B0009ET4SG,100.0,1
B014PHJFJA,100.0,1
B004B4B11I,100.0,1
B0836GDYCV,100.0,1
B07HKM8WSX,100.0,1
B07FYHDH6V,100.0,1
B002GYWBJ6,100.0,1
B07ND5P3C6,100.0,1
B07M7B9BNK,100.0,1
B0B2V727GT,100.0,1
B0787BSBHG,100.0,1
B01MEGWIVJ,100.0,1
B00M1E4QJY,100.0,1
B093K2Q7VW,100.0,1
B07B8Y7QFH,100.0,1
B00JPKDKQM,100.0,1
B017T9SMUO,100.0,1
B07DRNCLQB,100.0,1
B01N1UI8V7,100.0,1
B01A5CBKA6,100.0,1
B00DYQE33C,100.0,1
B01BD6UOKK,100.0,1
B00CPBSN3S,100.0,1
B07V6VFZKN,100.0,1
B01LZNG7MV,100.0,1
B00VIULNO8,100.0,1
B081MPVWC5,100.0,1
B082CGWPVF,100.0,1
B00F0TC2FW,100.0,1
B01FX9O9PO,100.0,1
B07CPFDGF9,100.0,1
B07MXBHZFK,100.0,1
B07Y29H239,100.0,1
B0716DSMPV,100.0,1
B01ERVOD46,100.0,1
B00LMGKRMM,100.0,1
B06Y1ZH2PV,100.0,1
B07MXPGJHR,100.0,1
B009TC98JE,100.0,1
B07GJ87PRL,100.0,1
B08KLH1GJS,100.0,1
B00WL8G864,100.0,1
B07TS6L7SR,100.0,1
B00SVE393M,100.0,2
B08PCS1BZ5,100.0,1
B004LG93KC,100.0,1
B00FION0NM,100.0,1
B08PVTKN4M,100.0,1
B087TQ7NQY,100.0,1
B00EN9UF90,100.0,1
B078HT51D5,100.0,1
B087BH2VF3,100.0,1
B01IP40B6U,100.0,1
B00LI6DIDG,100.0,1
B07YWK48FQ,100.0,1
B008EULFD4,100.0,1
B07215K911,100.0,1
B0096QWIKE,100.0,1
B00S4AMOG6,100.0,1
B00IFFQ6JQ,100.0,1
B07VH755N7,100.0,1
B07QH9HSBX,100.0,1
B00O5CRJQM,100.0,1
